-9.24270e-01 -7.47407e-01  7.96050e-01  3.17503e-01  1.49535e+00
 2.23680e+00 -2.48707e+00  6.56090e+01  6.44932e-01  8.65771e-01  8.35364e-01
 4.34914e-01  9.40014e-01  5.60381e-01  4.83379e-01  3.07171e-02
