TIC_ID,dist,dist_e,Gmag0,Gmag0_e,BmV0,BmV0_e,VmG0,VmG0_e,GmT0,GmT0_e,EBV,EBV_e,blend,blend_e,TIC_Gmag,TIC_Teff,TIC_Teff_e,TIC_rad,TIC_rad_e,TIC_mass,TIC_mass_e,flags
3312830,1078.15,85.2065,11.73359776,0.0928198596479783,0.0848079999999997,0.5199121546744699,-0.0960929600000005,0.1205289245990355,0.1354332800000008,0.0193607297588727,0.159192,0.0175535,0.5291516054958093,0.1267924521236882,12.1666,7826.0,162.546,2.30214,0.19644,1.86,0.29383,[]
68663830,550.439,24.5585,9.111301424,0.0237406942651865,0.0401916999999995,0.0452997472202759,-0.0038071540000006,0.046063285957718,0.0056665220000004,0.0077634492779242,0.0408083,0.00444272,0.0042867705060167,0.0059797933589314,9.2223,9179.0,137.025,3.10965,0.159949,2.33,0.326208,[]
453278567,596.179,15.6175,9.87515432,0.0607858761994686,0.2408434999999999,0.078091557437312,-0.0692394700000001,0.0887240390596736,0.1488367100000002,0.0167377822783737,0.0861565,0.01576565,0.0481987389559899,0.0401612518141163,10.1095,7717.0,160.596,3.06691,0.121885,1.82,0.307086,[]
83530759,879.592,18.0505,10.66651584,0.1641566495613209,0.370322,0.2860420415272945,0.0301823599999991,0.1790994423358152,0.3198325200000005,0.0233366316979261,0.302678,0.02337855,0.1631207423455348,0.1233619738065322,11.4898,6495.0,164.169,4.36388,0.208402,1.33,0.214342,[]
391244527,1885.34,79.305,10.58943424,0.2027947227704942,-0.3267079999999985,0.3261622692450224,-0.0133290400000014,0.2137214866993957,-0.07038728,0.0141225307034548,0.397708,0.01462575,0.2993831565145331,0.1988955666772297,11.6712,10494.0,339.655,4.61396,0.194839,2.71,0.362577,[]
2021686529,623.35,10.8325,10.81712768,0.1200789469864819,,,,,0.3114780400000013,0.0261510131383212,0.117306,0.03852145,0.387267799746786,0.0269638472849535,11.1362,6549.0,224.376,,,,,"['DISPOSITION=DUPLICATE', 'DROP_GAIA_VMAG']"
266071175,814.5,25.521,9.803804,0.2463391502462408,0.1627000000000004,0.3045169227876548,-0.3061339999999997,0.256361371473941,-0.0880380000000004,0.026675723638275,0.4743,0.02450375,0.1158348159019891,0.0657190288705118,11.0939,11040.0,600.841,2.71422,0.139613,2.88,0.403499,[]
310970816,1854.74,113.72,12.37300208,0.1164639557583243,0.9687140000000004,0.2010281103927627,0.2345113199999991,0.1584991305843663,0.5621512400000009,0.0109346111697369,0.226286,0.0101470547,0.6657625951063841,0.1456738447100943,12.9885,5027.0,122.0,7.41169,,,,[]
48400142,1035.54,32.96,11.24655928,0.0383694140576855,1.218161499999999,0.212516995502395,-0.0159586299999989,0.0650222831540272,0.6259665900000002,0.0081516779329883,0.0688385,0.00622805,0.3173179198004026,0.4068877499602309,11.4338,4728.0,122.0,8.16494,,,,[]
405320687,733.632,14.837,9.7053576,0.1873157565300021,-0.115295000000001,0.2152029737123827,0.0430279000000007,0.1973851569527202,0.0656852999999995,0.0156224383848402,0.367295,0.01356155,0.052734943293688,0.0596138988062229,10.7044,8439.0,170.829,3.54224,0.117603,2.09,0.314303,[]
